Country,Capital,Currency,Official lang,HOG,Population,Flags
Lebanon,Beirut,Lebanese pound,Arabic; French,Prime Minister – Saad Hariri,6831445,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/lebanon.gif
Lesotho,Maseru,Maluti,Sesotho; English,Prime Minister – Tom Thabane,2138799,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/lesotho.gif
Liberia,Monrovia,Liberian dollar,English,President – George Weah,5032469,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/liberia.gif
Libya,Tripoli,Libyan dinar,Arabic,Prime Minister – Fayez al- Sarraj,6852010,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/libya.gif
Liechtenstein,Vaduz,Swiss franc,German,Prime Minister-Adrian Hasler,38106,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/liechtenstein.gif
Lithuania,Vilnius,Litas,Lithuanian,Prime Minister – Saulius Skvernelis,2729553,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/lithuania.gif
Luxembourg,Luxembourg,Euro (formerly Luxembourg franc),German; French; Luxembourgish,Prime Minister – Xavier Bettel,623861,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/luxembourg.gif
Macedonia,Skopje,Denar,Macedonian,"President of the
Government – Gjorge Ivanov",-1,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/macedonia.gif
Madagascar,Antananarivo,Malagasy Ariary,Malagasy; French; English,Prime Minister –Christian Ntsay,27539106,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/macedonia.gif
Malawi,Lilongwe,Kwacha,English,President – Peter Mutharika,19024426,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/malawi.gif
Malaysia,Kuala Lumpur,Ringgit,Malay,Prime Minister – Mahathir Mohamad,32280610,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/malaysia.gif
Maldives,Male,Rufiyaa,Dhivehi,President – Ibrahim Mohamed Solih,538558,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/maldives.gif
Mali,Bamako,CFA Franc,French,Prime Minister - Boubou Cisse,20125282,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mali.gif
Malta,Valletta,Euro,Maltese; English,Prime Minister – Joseph Muscat,441308,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/malta.gif
Marshall Islands,Majuro,U.S. Dollar,Marshallese; English,Prime Minister – Stefan Löfven,59109,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/marshall_islands.gif
Mauritania,Nouakchott,Ouguiya,Arabic,Prime Minister – Ismail Ould Bedde Ould Cheikh Sidiya,4623535,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mauritania.gif
Mauritius,Port Louis,Mauritian rupee,English,Prime Minister – Pravind Jugnauth,1271347,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mauritius.gif
Mexico,Mexico City,Mexican peso,Spanish,President – Andrés Manuel López Obrador,1.29E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mexico.gif
"Micronesia,
Federated States of",Palikir,U.S. Dollar,English,President – Peter M. Christian,548502,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/micronesia.gif
Moldova,Chisinau,Leu,Moldovan (Romanian),Prime Minister – Maia Sandu,4035814,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/moldova.gif
Monaco,Monte Carlo,Euro,French; Italian; English,Minister of State – Serge Telle,39186,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/monaco.gif
Mongolia,Ulaanbaatar,Togrog,Mongolian,Prime Minister – Ukhnaagiin Khürelsükh,3267320,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mongolia.gif
Montenegro,Podgorica,Euro,Montenegrin,Prime Minister – Duško Markovi?,628050,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/montenegro.gif
Morocco,Rabat,Dirham,Arabic,Prime Minister- Saadeddine Othmani,36820713,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/morocco.gif
Mozambique,Maputo,Metical,Portuguese,Prime Minister – Carlos Agostinho do Rosário,31067362,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/mozambique.gif
Myanmar (Burma),Nay Pyi Taw,Kyat,Burmese,President– Win Myint,54383708,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/myanmar.gif
Namibia,Windhoek,Namibian dollar,English; Afrikaans; German,Prime Minister – Saara Kuugongelwa,2531290,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/namibia.gif
Nauru,"no official capital; government offices
in Yaren District",Australian dollar,English; Nauran,President – Lionel Aingimea,10810,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/nauru.gif
Nepal,Kathmandu,Nepalese rupee,Nepali,Prime Minister – KP Sharma Oli,29027347,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/nepal.gif
Netherlands,"Amsterdam; The
Hague (seat of government)",Euro (formerly guilder),Dutch,Prime Minister – Mark Rutte,17127290,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/netherlands.gif
New Zealand,Wellington,New Zealand dollar,English,Prime Minister – Jacinda,4814272,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/new_zealand.gif
Nicaragua,Managua,Gold cordoba,Spanish,President – Daniel Ortega,6608366,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/nicaragua.gif
Niger,Niamey,CFA Franc,French,Prime Minister – Brigi Rafini,24014064,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/niger.gif
Nigeria,Abuja,Naira,English,Prime Minister– Sir Abubakar Tafawa Balewa,2.05E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/nigeria.gif
Norway,Oslo,Norwegian krone,Norwegian,Prime Minister – Erna Solberg,5412632,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/norway.gif
Oman,Muscat,Omani rial,Arabic,"Sultan and Prime Minister
– Qaboos bin Said al Said",5078933,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/oman.gif
Pakistan,Islamabad,Pakistani rupee,Urdu; English,Prime Minister – Imran Khan,2.20E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/pakistan.gif
Palau,Melekeok,U.S. dollar,English; Palauan,Vice President – Thomas Remengesau Jr.,18077,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/palau.gif
Panama,Panama City,Balboa; U.S. dollar,Spanish,President – Laurentino Cortizo,4300667,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/panama.gif
Papua New Guinea,Port Moresby,Kina,English; Tok Pisin; Hiri Motu,Prime Minister – James Marape,8911530,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/papua_new_guinea.gif
Paraguay,Asuncion,Guaraní,Spanish; Guarani,President – Mario Abdo Benítez,7114524,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/paraguay.gif
Peru,Lima,Nuevo sol (1991),Spanish,Prime Minister – Salvador del Solar,32876986,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/peru.gif
Philippines,Manila,Peso,Filipino; English,President – Rodrigo Duterte,1.09E+08,https://articleimageaugli.s3.ap-south-1.amazonaws.com//flags/philippines.gif
