Word,Word-ID,Syn-ID,Synonym,CEFR,Strength,Syllabel
character,1088,1996,appearance,4,2,3
character,1088,2010,reputation,4,2,3
character,1088,2222,temper,4,2,3
character,1088,2259,genius,5,2,3
character,1088,2287,vein,5,2,3
character,1088,3265,record,2,2,3
character,1088,4328,quality,3,3,3
character,1088,4391,disposition,6,2,3
character,1088,4797,aspect,4,3,3
character,1088,4812,complex,4,2,3
character,1088,5933,temperament,-1,2,3
character,1088,5969,trait,6,2,3
character,1088,6769,standing,5,2,3
character,1088,7472,specialty,-1,2,3
character,1088,7687,mettle,-1,2,3
character,1088,8108,streak,-1,2,3
character,1088,8188,constitution,5,2,3
character,1088,8427,repute,-1,2,3
character,1088,12760,cast,4,3,3
character,1088,13596,singularity,-1,2,3
character,1088,14410,humor,-1,3,3
character,1088,15047,kind,2,3,3
character,1088,16013,morale,6,2,3
character,1088,16871,estimation,-1,2,3
character,1088,19976,mystique,-1,2,3
character,1088,20728,caliber,-1,2,3
character,1088,21210,attribute,6,2,3
bother,31673,190,trouble,3,2,2
bother,31673,966,care,4,2,2
bother,31673,1101,pain,2,2,2
bother,31673,1286,problem,1,2,2
bother,31673,1386,flurry,-1,2,2
bother,31673,1538,pressure,6,2,2
bother,31673,1679,irritation,6,2,2
bother,31673,1788,strain,4,2,2
bother,31673,1790,plague,6,2,2
bother,31673,1955,drag,4,2,2
bother,31673,1958,difficulty,3,2,2
bother,31673,2661,trial,4,2,2
bother,31673,3889,anxiety,4,2,2
bother,31673,4401,pest,-1,2,2
bother,31673,7829,distress,5,2,2
bother,31673,8990,irritant,-1,2,2
bother,31673,9893,bustle,-1,2,2
bother,31673,11678,exasperation,-1,2,2
bother,31673,12940,nudge,-1,2,2
bother,31673,13363,aggravation,-1,1,2
bother,31673,14496,vexation,-1,2,2
bother,31673,18060,molestation,-1,2,2
bother,31673,19412,perplexity,-1,2,2
bother,31673,22086,ado,-1,2,2
bother,31673,30288,fuss,5,2,2
bother,31673,31496,concern,5,2,2
bother,31673,31675,worry,2,2,2
bother,31673,33582,nuisance,4,2,2
bother,31673,33781,annoyance,5,2,2
bother,31673,34367,to-do,-1,2,2
bother,31673,37166,headache,2,2,2
bother,31673,37167,botheration,-1,2,2
quit,6420,79,book,1,2,1
quit,6420,288,desert,2,2,1
quit,6420,455,drop,3,1,1
quit,6420,1976,relinquish,-1,1,1
quit,6420,1987,vacate,-1,1,1
quit,6420,2680,evacuate,5,2,1
quit,6420,2931,withdraw,5,1,1
quit,6420,2942,exit,2,2,1
quit,6420,3093,yield,6,2,1
quit,6420,3959,surrender,6,1,1
quit,6420,4619,retire,3,1,1
quit,6420,4721,depart,3,1,1
quit,6420,5025,resign,4,2,1
quit,6420,5569,forsake,-1,2,1
quit,6420,8681,renounce,-1,1,1
quit,6420,14265,blow,3,2,1
quit,6420,16449,abdicate,-1,2,1
quit,6420,30332,decamp,-1,2,1
quit,6420,32326,go,1,1,1
quit,6420,34119,pull out,-1,1,1
quit,6420,34120,cut out,2,3,1
quit,6420,34121,walk out on,1,3,1
agriculture,5828,1087,culture,3,1,4
agriculture,5828,11294,husbandry,-1,1,4
agriculture,5828,11455,horticulture,-1,1,4
agriculture,5828,34605,cultivation,5,1,4
agriculture,5828,36588,tillage,-1,2,4
agriculture,5828,38920,agronomy,-1,2,4
cheek,1309,3249,chop,4,2,1
cheek,1309,20059,jowl,-1,2,1
demand,1805,113,order,2,1,2
demand,1805,114,need,1,1,2
demand,1805,476,want,1,2,2
demand,1805,681,use,1,1,2
demand,1805,766,suit,2,2,2
demand,1805,872,search,3,2,2
demand,1805,1699,claim,4,1,2
